,brand,name,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,피부고민_보습에 좋아요,피부고민_진정에 좋아요,피부고민_주름/미백에 좋아요,발림성_아주 만족해요,발림성_보통이에요,발림성_다소 아쉬워요,세정력_아주 만족해요,세정력_보통이에요,세정력_다소 아쉬워요,자극도_자극없이 순해요,자극도_보통이에요,자극도_자극이 느껴져요,지성,건성,복합성,민감성,약건성,트러블성,중성,쿨톤,웜톤,봄웜톤,여름쿨톤,가을웜톤,겨울쿨톤,잡티,미백,주름,각질,트러블,블랙헤드,피지과다,모공,탄력,홍조,아토피,다크서클
76,에스네이처,에스네이처 아쿠아 스쿠알란 세럼,31,56,13,70,28,2,0,0,0,0,0,0,80,20,1,20,24,67,53,2,4,1,22,37,17,31,9,24,26,20,4,40,13,11,1,76,2,2,4,28
77,이지듀,이지듀 DW EGF 멜라토닝 원데이 앰플,53,41,6,29,8,63,0,0,0,0,0,0,70,30,1,2,10,10,5,0,0,0,5,12,1,3,0,2,7,8,1,5,1,2,0,10,1,1,0,2
78,브링그린,브링그린 티트리시카수딩토너,17,59,24,18,82,1,0,0,0,0,0,0,64,33,3,136,125,360,216,3,30,4,183,288,45,67,33,37,77,84,5,208,91,108,9,377,5,10,7,61
79,차앤박,차앤박 프로폴리스 에센셜 아이크림,54,41,5,45,14,41,0,0,0,0,0,0,72,26,2,10,19,40,32,0,5,1,15,26,14,14,11,9,12,10,2,20,9,13,0,51,2,2,3,8
80,파티온,파티온 노스카나인 트러블 크림,20,55,25,23,75,2,0,0,0,0,0,0,84,16,1,44,32,68,70,0,26,1,44,38,45,25,13,18,15,21,0,58,37,30,1,97,1,3,2,14
81,더랩바이블랑두,더랩바이블랑두 저분자 히알루론산 딥 토너 리필 캔,42,49,9,77,23,1,0,0,0,0,0,0,90,10,0,12,12,35,21,0,2,0,15,13,10,17,11,2,10,16,0,15,13,7,0,28,0,0,2,15
82,메이크프렘,메이크프렘 인테카 수딩크림,18,63,19,24,76,1,0,0,0,0,0,0,76,24,1,38,33,88,80,1,15,0,43,63,24,24,16,18,27,35,2,34,36,23,6,93,1,3,0,20
83,바이오더마,바이오더마 하이드라비오 에센스로션 더블기획,41,52,8,73,24,3,0,0,0,0,0,0,80,20,1,93,150,289,178,3,15,3,187,221,52,73,15,37,57,122,6,165,75,93,8,273,11,10,13,55
84,브이티,VT 리들샷 300 에센스,15,66,19,20,43,38,0,0,0,0,0,0,10,23,67,12,8,12,13,0,0,0,4,13,5,7,3,3,9,6,0,7,8,8,1,14,0,0,0,4
85,AHC,AHC 텐 레볼루션 리얼 아이크림 포 페이스 더블,38,62,0,40,16,44,0,0,0,0,0,0,65,33,2,22,46,73,48,0,18,2,34,44,26,34,9,30,4,33,5,53,20,20,1,98,5,3,4,46
86,우르오스,우르오스 스킨밀크,35,60,6,73,27,1,0,0,0,0,0,0,64,36,1,10,33,36,30,0,0,3,32,39,1,2,4,6,8,19,0,27,9,9,0,52,0,2,2,10
87,라운드랩,라운드랩 자작나무 수분 크림,28,57,15,60,40,1,0,0,0,0,0,0,68,30,2,18,28,40,29,2,9,0,20,33,6,26,11,4,8,8,1,28,23,17,0,52,0,4,3,18
88,브이티,VT 리들샷 100 에센스,19,64,17,18,53,29,0,0,0,0,0,0,11,29,60,12,12,26,29,0,5,0,8,10,13,20,16,1,10,8,1,21,5,13,0,37,0,0,0,13
89,라로슈포제,라로슈포제 시카플라스트 멀티 리페어 크림,57,33,10,63,33,4,0,0,0,0,0,0,84,14,2,63,75,166,123,2,11,2,121,134,21,46,15,19,42,66,3,104,49,60,3,170,4,3,6,54
90,메디힐,메디힐 티트리 진정 수분 앰플,17,57,26,16,84,1,0,0,0,0,0,0,77,21,2,21,11,39,30,1,8,0,28,21,11,11,12,8,5,13,0,29,16,23,0,58,2,0,0,8
91,우르오스,우르오스 올인원,27,60,14,66,34,2,0,0,0,0,0,0,60,40,1,38,45,68,59,2,5,0,48,61,15,16,9,11,21,30,3,50,12,20,1,75,7,1,0,18
92,성분에디터,성분에디터 머루포도 비타C 다크 스팟 앰플,32,62,6,31,27,42,0,0,0,0,0,0,73,27,1,3,9,8,5,0,0,0,7,1,5,6,0,1,2,5,0,3,1,4,0,12,0,0,0,9
93,유세린,유세린 하이알루론 컨센트레이트,49,47,4,43,11,46,0,0,0,0,0,0,70,28,2,14,27,40,39,0,1,3,20,47,11,8,4,2,15,33,2,33,6,7,0,25,1,6,1,11
94,닥터지,닥터지 블랙스네일 레티놀 앰플,48,46,6,42,14,44,0,0,0,0,0,0,68,30,2,7,11,38,33,0,7,1,14,25,7,13,9,7,11,11,1,19,14,5,1,39,2,2,1,6
95,닥터자르트,닥터자르트 시카페어 인텐시브 수딩 리페어 크림,27,62,11,28,70,2,0,0,0,0,0,0,72,28,1,3,10,32,30,0,3,2,10,21,6,14,1,5,6,6,2,13,14,8,0,23,0,0,2,15
96,에스트라,에스트라 아토베리어365 크림,52,44,5,76,24,1,0,0,0,0,0,0,80,20,1,0,2,5,3,0,1,0,4,3,0,2,0,1,3,1,2,2,1,1,0,7,0,0,0,1
97,브링그린,브링그린 티트리시카수딩크림플러스,14,55,31,24,76,1,0,0,0,0,0,0,66,31,3,32,40,114,66,4,30,1,44,53,41,57,25,10,37,30,5,56,46,36,8,109,1,4,5,38
98,닥터지,닥터지 레드 블레미쉬 클리어 모이스처 크림 세트,55,38,7,71,29,0,0,0,0,0,0,0,76,24,0,7,40,46,33,0,6,8,27,33,16,18,9,4,12,17,2,21,16,12,1,58,4,4,5,8
99,이니스프리,이니스프리 레티놀 시카 흔적 앰플,19,60,21,15,50,35,0,0,0,0,0,0,49,37,14,12,31,31,33,2,7,4,25,16,13,28,4,11,8,12,1,27,18,17,1,49,3,8,1,16
